1	6
1	12
1	18
1	24
1	30
1	36
1	81
1	83
1	127
1	142
1	156
1	191
1	397
1	414
1	453
1	459
1	465
2	4
2	10
2	16
2	22
2	28
2	34
2	63
2	65
2	69
2	77
2	91
2	94
2	96
2	132
2	134
2	138
2	143
2	145
2	151
2	164
2	172
2	173
2	188
2	193
2	197
2	230
2	232
2	242
2	316
2	356
2	390
2	395
2	405
2	410
2	451
2	457
2	463
3	3
3	9
3	15
3	21
3	27
3	33
3	48
3	62
3	64
3	72
3	86
3	88
3	89
3	90
3	95
3	106
3	111
3	113
3	115
3	116
3	123
3	126
3	140
3	144
3	147
3	159
3	162
3	166
3	171
3	174
3	177
3	180
3	181
3	182
3	184
3	227
3	231
3	233
3	236
3	238
3	239
3	244
3	246
3	253
3	258
3	262
3	265
3	313
3	314
3	340
3	342
3	343
3	344
3	346
3	359
3	363
3	365
3	408
3	411
3	450
3	456
3	462
4	1
4	7
4	13
4	19
4	25
4	31
4	59
4	97
4	108
4	148
4	150
4	161
4	176
4	179
4	190
4	201
4	217
4	221
4	235
4	240
4	243
4	245
4	252
4	254
4	259
4	260
4	261
4	263
4	267
4	308
4	309
4	319
4	320
4	328
4	329
4	339
4	345
4	347
4	352
4	354
4	360
4	406
4	412
4	448
4	951
4	962
5	5
5	11
5	17
5	23
5	29
5	35
5	87
5	146
5	149
5	154
5	155
5	157
5	183
5	200
5	204
5	255
5	256
5	257
5	264
5	266
5	312
5	315
5	317
5	318
5	334
5	341
5	348
5	353
5	355
5	357
5	358
5	362
5	375
5	391
5	407
5	409
5	413
5	452
5	454
5	458
5	460
5	464
5	988
6	2
6	8
6	14
6	20
6	26
6	32
6	310
6	338
6	349
6	350
6	351
6	361
6	420
6	421
6	422
6	449
6	455
6	461
6	982
7	998
7	999
7	1000
7	1001
7	1002
7	1003
7	1004
7	2000
